Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Border Shelter Network and Call Center (Church World Service Inc),https://www.auntbertha.com//church-world-service-inc--lancaster-pa--border-shelter-network-and-call-center/4967372504694784?postal=19114,"['temporary shelter', 'meals', 'clothing', 'personal hygiene', 'navigating the system', 'support network']","['temporary shelter', 'meals', 'clothing', 'personal hygiene', 'navigating the system', 'support network']","['anyone in need', 'all ages', 'refugees', 'undocumented', 'individuals', 'families', 'limited english']",717-381-2890,https://cwsglobal.org/our-work/united-states/asylum-and-border-services/,"308 East King Street, Lancaster, PA 17602","https://www.google.com/maps/?q=308+East+King+Street,+Lancaster,+PA+17602/",['This program is available to anyone seeking refuge that was recently released from U.S. custody'],available,"Church World Service Inc offers a network of respite shelters to assist those awaiting a court date with the US government after going through US custody. This program provides:- Short-term shelter- Meals- Clothing- Hygiene products- Access to telephones to call loved ones- Connection to resettlement offices, member congregations, sanctuary churches and other service providers that can assist with housing, legal services, support services and resource sharingCWS has refugee and immigration offices spread across different states. Many of these offices are managed through partnerships with local organizations, while some are directly overseen by CWS and as such set the standard for resettlement in local communities.","['Arabic', 'Armenian', 'English', 'French', 'Gujarati', 'Haitian', 'Hindi', 'Portuguese', 'Punjabi', 'Russian', 'Spanish', 'Turkish', 'Ukrainian']",Free,Yes,https://www.facebook.com/churchworldservice,https://twitter.com/CWS_global,"This program covers residents of the following states: CA, FL, GA, IL, IN, KY, MI, NE, NH, NY, OH, OR, PA, TX and VA.",40.0383433,-76.2988403,17602,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,2.4,Food
Community Support Services (Better Living Center),https://www.auntbertha.com//better-living-center-%2528blc%2529--chester-pa--community-support-services/5385341432496128?postal=19113,"['emergency food', 'health education', 'understand mental health', 'community support services', 'computer or internet access', 'after school care', 'day camp', 'navigating the system', 'help find work', 'skills & training']","['emergency food', 'health education', 'understand mental health', 'community support services', 'computer or internet access', 'after school care', 'day camp', 'navigating the system', 'help find work', 'skills & training']","['anyone in need', 'all ages', 'individuals', 'families', 'low-income', 'criminal justice history']",610-497-1082,https://betterlivingcdc.org/,"1917 W 6th St, Chester, PA 19013","https://www.google.com/maps/?q=501+Yarnall+Street,+Chester,+PA+19013/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"The Better Living Center is dedicated to providing resources and information to empower the residents of Chester and Delaware County to improve their lives.This program provides:- An Emergency Food Pantry- Free Computer and Internet Access- After-School Programs- YMCA Summer Camp in partnership with the Rocky Run YMCA- Job Training, Career Development and Employment Searches- Healthy Lifestyle, Healthcare and Mental Health Information",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Chester County, PA and Delaware County, PA.",39.8383841,-75.3834925,19013,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.8,Food
My Brother's House (Bethesda Project),https://www.auntbertha.com//bethesda-project--philadelphia-pa--my-brother%2527s-house/5138871176658944?postal=19102,"['temporary shelter', 'safe housing', 'mental health care', 'substance abuse counseling']","['meals', 'navigating the system', 'case management']","['all ages', 'male', 'homeless', 'near homeless', 'all mental health']",215-985-1600,https://www.bethesdaproject.org/housing-shelter,"609 South 15th Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=609+South+15th+Street,+Philadelphia,+PA+19146/",['This program serves homeless men.'],available,"My Brother's House program offers a safe heaven that provides pre-recovery housing and an array of supportive services to 20 vulnerable men with chronic mental illness and substance abuse problem. This program provides:- Temporary shelterIn addition to a safe place to stay, resident are provided with:- Meals- Social services",['English'],Free,Yes,https://www.facebook.com/BethesdaProject/,https://www.twitter.com/@Bethesda_Proj,"This program covers residents of the following counties: Philadelphia County, PA.",39.9435134,-75.1671526,19146,No,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.4,Food
Second Helping Emergency Food Cupboard (Bebashi),https://www.auntbertha.com//bebashi--philadelphia-pa--second-helping-emergency-food-cupboard/4785885511417856?postal=19134,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['all ages', 'individuals', 'families', 'low-income']",215-769-3561,https://www.bebashi.org/hunger-relief/,"1235 Spring Garden Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1235+Spring+Garden+Street,+Philadelphia,+PA+19123/",['HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.\nNo referral is needed.\nThis program helps people with income at or below 150% of federal poverty guidelines.'],available,"Bebashi's Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity don't go hungry. Service provided:- Boxed and canned food - Fresh meats, fruits and vegetables- Nutrition workshops and easy-to-prepare recipesVisitors can come to the pantry once a month.Information required to register: - Name - Last four digits of social security number- Zipcode- Monthly income- The number of people in the homeBring a pen to sign the intake form and something to hold items as you shop.If you are not a client of Bebashi you will need a referral letter from a social worker.",['English'],Free,Yes,https://www.facebook.com/bebashi,https://www.twitter.com/@bebashi,"This program covers residents of the following cities: Philadelphia, PA.",39.962199,-75.1586904,19108,No,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,11:00AM - 4:00PM,Closed,Closed,4.3,Food
Addiction Medicine And Health Advocates (Addiction Medicine and Health Advocates Inc),https://www.auntbertha.com//addiction-medicine-and-health-advocates%252C-inc.-%2528amha%2529--philadelphia-pa--addiction-medicine-and-health-advocates/5185303560585216?postal=19102,"['addiction & recovery', 'detox', 'outpatient treatment', 'understand mental health', 'group therapy', 'substance abuse counseling', 'family counseling', 'mental health evaluation', 'drug testing', 'navigating the system', 'support network', 'one-on-one support']","['addiction & recovery', 'detox', 'outpatient treatment', 'understand mental health', 'group therapy', 'substance abuse counseling', 'family counseling', 'mental health evaluation', 'drug testing', 'navigating the system', 'support network', 'one-on-one support']","['adults', 'young adults', 'teens', 'seniors', 'substance dependency', 'families']",215-923-4202,https://amhainc.org/services,"928 Market St., Philadelphia, PA 19107","https://www.google.com/maps/?q=928+Market+St,+Philadelphia,+PA+19107/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"Addiction Medicine and Health Advocates, Inc. (AMHA) provides evidence-based substance abuse treatment, which is continuously responsive to the needs of the patients and their families.AMHA is an outpatient facility consisting of two levels of care: Outpatient and Intensive Outpatient. Methadone Maintenance is provided on both levels of care.Services provided include: Assessment and intake Medication-assisted treatment (methadone maintenance) Individual counseling & psychotherapy Group psychotherapy Psycho education Medical & psychiatric evaluations  Aftercare & follow up services  Referrals (educational, medical, vocational, psychiatric, higher levels of care) Couples & family therapy Drug screening To begin the admissions process, please contact us. You may also come in person between the hours of 9AM and 4PM, Monday through Friday. You will be asked to complete a short screening interview and if initial eligibility criteria is met, you will be scheduled for an assessment.At the time of your assessment, you will need to bring: Current, state-issued photo ID Insurance cardAMHA is a private not-for-profit organization dependent upon patient fees for its continuance. Most of our patients have some form of insurance or medical assistance that pays for medication-assisted treatment services. Individuals who do not have insurance are responsible for payment or they may be eligible for county funding.",['English'],Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9513162,-75.1561975,19107,No,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00 - 11:45AM,6:00 - 11:45AM,4.2,Food
Food Cabinet (Lutheran Church of the Holy Communion),https://www.auntbertha.com/provider/lutheran-church-of-the-holy-communion--philadelphia-pa/6332350651432960?postal=19109&s=94,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-567-3668,https://www.lc-hc.org/calendar,"2110 Chestnut Street, Philadelphia, PA 19103","https://www.google.com/maps/?q=2110+Chestnut+Street,+Philadelphia,+PA+19103/",['Anyone can access this program.'],available,The Food Cabinet provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet nutritional needsThis program is offered on the second Wednesday of the month.,['English'],Free,Yes,https://www.facebook.com/LCHCintheCity/,https://www.twitter.com/@LCHCintheCity,"This program covers residents of the following cities: Philadelphia, PA.",39.952106,-75.176016,19103,No,Closed,Closed,11:00 - 13:00AM,Closed,Closed,Closed,Closed,5,Food
Second Helping Emergency Food Cupboard (Bebashi),https://www.auntbertha.com//bebashi--philadelphia-pa--second-helping-emergency-food-cupboard/4785885511417856?postal=19109,"['emergency food', 'food pantry']","['emergency food', 'food pantry']","['all ages', 'individuals', 'families', 'low-income']",215-769-3561,https://www.bebashi.org/hunger-relief/,"1235 Spring Garden Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1235+Spring+Garden+Street,+Philadelphia,+PA+19123/","['HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.', 'No referral is needed.', 'This program helps people with income at or below 150% of federal poverty guidelines.']",available,"BebashiŐs Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity donŐt go hungry. Service provided:
- Boxed and canned food
- Fresh meats, fruits and vegetables
- Nutrition workshops and easy-to-prepare recipes
Visitors can come to the pantry once a month.
Information required to register:
- Name
- Last four digits of social security number
- Zipcode
- Monthly income
- The number of people in the home
Bring a pen to sign the intake form and something to hold items as you shop.
If you are not a client of Bebashi you will need a referral letter from a social worker.",['English'],Free,Yes,https://www.facebook.com/bebashi,https://www.twitter.com/@bebashi,"This program covers residents of the following cities: Philadelphia, PA.",39.9621806,-75.158632,19123,No,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,4.4,Food
Food Distribution (Mighty Writers),https://www.auntbertha.com/provider/mighty-writers--philadelphia-pa/6538010800422912?postal=19109&s=94,"['food pantry', 'diapers & formula', 'books', 'personal care items']","['food pantry', 'diapers & formula', 'books', 'personal care items']","['anyone in need', 'all ages', 'families']",267-239-0899,https://mightywriters.org/food-distribution/,"1025 South 9th Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1025+South+9th+Street,+Philadelphia,+PA+19147/",['Anyone can access this program.'],available,"Mighty Writers' response to the coronavirus, Mighty Writers will bolster and expand the recently launched food-literacy distribution. Each meal box will come with writing worksheets for kids in both English and Spanish. In addition, novels and children's books will be distributed weekly.This program provides:- Food to meet nutritional needs- Books",['English'],Free,Yes,https://www.facebook.com/MightyWriters/,https://www.twitter.com/@MightyWriters,"This program covers residents of the following cities: Atlantic City, NJ, Camden, NJ, Philadelphia, PA and Toughkenamon, PA.",39.9368864,-75.158145,19147,No,Closed,11:30AM - 1:00PM,11:30AM - 1:00PM,11:30AM - 1:00PM,11:30AM - 1:00PM,Closed,Closed,5,Food
Food Cupboardby (St. Peter's Church),https://www.auntbertha.com//st.-peter%2527s-church--philadelphia-pa--food-cupboard/4674818478964736?postal=19109,['food pantry'],['food pantry'],"['anyone in need', 'all ages', 'individuals', 'families']",215-925-5968,https://www.stpetersphila.org/social-justice/food-cupboard/,"313 Pine Street, Philadelphia, PA 19106","https://www.google.com/maps/?q=313+Pine+Street,+Philadelphia,+PA+19106/",['Anyone can access this program.'],available,The Food Cupboard provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/stpetersphila,,"This program covers residents of the following cities: Philadelphia, PA.",39.9435671,-75.14772,19106,No,8:30AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,Closed,8:00AM - 4:00PM,4.7,Food
Breaking Bread on Broad (Congregation Rodeph Shalo),https://www.auntbertha.com//congregation-rodeph-shalo--philadelphia-pa--breaking-bread-on-broad/5098800476192768?postal=19109,"['food pantry', 'diapers & formula', 'personal care items']","['food pantry', 'diapers & formula', 'personal care items']","['anyone in need', 'all ages', 'female', 'mothers']",215-627-6747,https://rodephshalom.org/breakingbreadonbroad/,"615 North Broad Street, Philadelphia, PA 19123","https://www.google.com/maps/place/615+N+Broad+St,+Philadelphia,+PA+19123/",['Anyone can access this program.'],available,"Congregation Rodeph Shalo offers food, diapers, and feminine hygiene supplies to up to 170 families in need each Wednesday morning outside.This program provides:- Food- Diapers- Feminie supplies",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9638293,-75.1633439,19123,No,Closed,Closed,9:00 - 11:00AM,Closed,Closed,Closed,Closed,4.7,Food
